Unnamed: 0.1,Unnamed: 0,Rubrik,Eintrag,Miete,Größe,Stadtteil,frei ab,frei bis,Unnamed: 8,Lease term,EUR / SQM,Name,Neighbourhood,frei bis (Year - Month),Latitude,Longitude
0,,,06.04.2023,800.0,35.0,Wohnungen von HousingAnywhere*,2023-04-07,,,,22.857142857142858,06.04.2023-800.0-22.857142857142858 Wohnungen von HousingAnywhere*,,,-23.2335499,17.3231107
1,,,06.04.2023,750.0,50.0,Wohnungen von Spotahome*,2023-04-07,,,,15.0,06.04.2023-750.0-15.0 Wohnungen von Spotahome*,,,Location not found: NA,Location not found: NA
2,,2.0,06.04.2023,900.0,55.0,Berlin  Gesundbrunnen,2021-04-04,2021-06-04,,2.0,16.363636363636363,06.04.2023-900.0-16.363636363636363 Berlin  Gesundbrunnen,,2021-06,-23.2335499,17.3231107
3,,2.0,06.04.2023,625.0,65.0,Berlin  Pankow,2023-05-13,2023-05-27,,0.0,9.615384615384617,06.04.2023-625.0-9.615384615384615 Berlin  Pankow,Pankow,2023-05,52.5979174,13.435316
4,,,06.04.2023,700.0,40.0,Berlin  Friedrichshain,2023-04-06,2025-12-24,,32.0,17.5,06.04.2023-700.0-17.5 Berlin  Friedrichshain,Friedrichshain,2025-12,52.5122154,13.4502904
5,,,06.04.2023,2160.0,75.0,Berlin  Köpenick,2023-04-06,,,,28.8,06.04.2023-2160.0-28.8 Berlin  Köpenick,,,-23.2335499,17.3231107
6,,2.0,06.04.2023,500.0,52.0,Berlin  Mitte,2023-05-03,2023-05-15,,0.0,9.615384615384617,06.04.2023-500.0-9.615384615384615 Berlin  Mitte,Mitte,2023-05,Location not found: Mitte,Location not found: Mitte
7,,,06.04.2023,1350.0,65.0,Berlin  Köpenick,2023-04-06,,,,20.76923076923077,06.04.2023-1350.0-20.76923076923077 Berlin  Köpenick,,,-23.2335499,17.3231107
8,,3.0,06.04.2023,580.0,12.0,Berlin  Hellersdorf,2023-04-06,,,,48.333333333333336,06.04.2023-580.0-48.333333333333336 Berlin  Hellersdorf,,,-23.2335499,17.3231107
9,,3.0,06.04.2023,1400.0,100.0,Berlin  Neukölln,2023-05-06,2023-07-07,,2.0,14.0,06.04.2023-1400.0-14.0 Berlin  Neukölln,Neukölln,2023-07,52.4811497,13.4353501
10,,,06.04.2023,400.0,28.0,Berlin  Wedding,2023-04-13,2023-04-30,,0.0,14.285714285714286,06.04.2023-400.0-14.285714285714286 Berlin  Wedding,Wedding,2023-04,52.550123,13.34197
11,,,06.04.2023,1000.0,40.0,Berlin  Prenzlauer Berg,2023-05-01,2023-05-31,,0.0,25.0,06.04.2023-1000.0-25.0 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-05,52.5398466,13.4285652
12,,3.0,06.04.2023,1300.0,67.0,Berlin  Wilmersdorf,2023-05-01,2023-08-16,,3.0,19.402985074626866,06.04.2023-1300.0-19.402985074626866 Berlin  Wilmersdorf,Wedding,2023-08,52.550123,13.34197
13,,3.0,06.04.2023,1550.0,123.0,Berlin  Charlottenburg,2023-04-30,2023-06-01,,2.0,12.601626016260164,06.04.2023-1550.0-12.601626016260163 Berlin  Charlottenburg,Charlottenburg,2023-06,52.515747,13.3096834
14,,2.0,06.04.2023,1000.0,56.0,Berlin  Steglitz,2023-04-12,2023-05-29,,1.0,17.857142857142858,06.04.2023-1000.0-17.857142857142858 Berlin  Steglitz,,2023-05,-23.2335499,17.3231107
15,,2.0,06.04.2023,860.0,62.0,Berlin  Hermsdorf,2023-04-15,,,,13.870967741935484,06.04.2023-860.0-13.870967741935484 Berlin  Hermsdorf,Hermsdorf,,Location not found: Hermsdorf,Location not found: Hermsdorf
16,,1.0,06.04.2023,80.0,50.0,Berlin  Kreuzberg,2023-05-09,2023-05-14,,0.0,1.6,06.04.2023-80.0-1.6 Berlin  Kreuzberg,Kreuzberg,2023-05,52.4976443,13.411914
17,,,06.04.2023,1300.0,48.0,Berlin  Steglitz-Zehlendorf,2023-04-06,,,,27.08333333333333,06.04.2023-1300.0-27.083333333333332 Berlin  Steglitz-Zehlendorf,,,-23.2335499,17.3231107
18,,,06.04.2023,1180.0,40.0,Berlin  Charlottenburg,2023-05-01,2024-07-01,,14.0,29.5,06.04.2023-1180.0-29.5 Berlin  Charlottenburg,Charlottenburg,2024-07,Location not found: Charlottenburg,Location not found: Charlottenburg
19,,2.0,06.04.2023,1500.0,48.0,Berlin  Berlin,2023-04-01,,,,31.25,06.04.2023-1500.0-31.25 Berlin  Berlin,,,-23.2335499,17.3231107
20,,2.0,06.04.2023,700.0,62.0,Berlin  Prenzlauer Berg,2023-04-06,2023-04-30,,0.0,11.290322580645162,06.04.2023-700.0-11.290322580645162 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-04,52.5398466,13.4285652
21,,,06.04.2023,1100.0,36.0,Berlin  Lichterfelde,2023-04-06,2023-12-31,,8.0,30.55555555555556,06.04.2023-1100.0-30.555555555555557 Berlin  Lichterfelde,,2023-12,-23.2335499,17.3231107
22,,,,,,,,,,,,nan-nan-nan nan,,,-23.2335499,17.3231107
0,,,06.04.2023,810.0,50.0,Wohnungen von HousingAnywhere*,2023-04-07,,,,16.2,06.04.2023-810.0-16.2 Wohnungen von HousingAnywhere*,,,-23.2335499,17.3231107
1,,,06.04.2023,750.0,30.0,Wohnungen von Spotahome*,2023-04-07,,,,25.0,06.04.2023-750.0-25.0 Wohnungen von Spotahome*,,,-23.2335499,17.3231107
2,,2.0,06.04.2023,900.0,55.0,Berlin  Gesundbrunnen,2021-04-04,2021-06-04,,2.0,16.363636363636363,06.04.2023-900.0-16.363636363636363 Berlin  Gesundbrunnen,,2021-06,-23.2335499,17.3231107
3,,2.0,06.04.2023,625.0,65.0,Berlin  Pankow,2023-05-13,2023-05-27,,0.0,9.615384615384617,06.04.2023-625.0-9.615384615384615 Berlin  Pankow,Pankow,2023-05,52.5979174,13.435316
4,,,06.04.2023,700.0,40.0,Berlin  Friedrichshain,2023-04-06,2025-12-24,,32.0,17.5,06.04.2023-700.0-17.5 Berlin  Friedrichshain,Friedrichshain,2025-12,52.5122154,13.4502904
5,,,06.04.2023,2160.0,75.0,Berlin  Köpenick,2023-04-06,,,,28.8,06.04.2023-2160.0-28.8 Berlin  Köpenick,,,Location not found: NA,Location not found: NA
6,,2.0,06.04.2023,500.0,52.0,Berlin  Mitte,2023-05-03,2023-05-15,,0.0,9.615384615384617,06.04.2023-500.0-9.615384615384615 Berlin  Mitte,Mitte,2023-05,52.5178855,13.4040601
7,,,06.04.2023,1350.0,65.0,Berlin  Köpenick,2023-04-06,,,,20.76923076923077,06.04.2023-1350.0-20.76923076923077 Berlin  Köpenick,,,-23.2335499,17.3231107
8,,3.0,06.04.2023,580.0,12.0,Berlin  Hellersdorf,2023-04-06,,,,48.333333333333336,06.04.2023-580.0-48.333333333333336 Berlin  Hellersdorf,,,-23.2335499,17.3231107
9,,3.0,06.04.2023,1400.0,100.0,Berlin  Neukölln,2023-05-06,2023-07-07,,2.0,14.0,06.04.2023-1400.0-14.0 Berlin  Neukölln,Neukölln,2023-07,52.4811497,13.4353501
10,,,06.04.2023,400.0,28.0,Berlin  Wedding,2023-04-13,2023-04-30,,0.0,14.285714285714286,06.04.2023-400.0-14.285714285714286 Berlin  Wedding,Wedding,2023-04,52.550123,13.34197
11,,,06.04.2023,1000.0,40.0,Berlin  Prenzlauer Berg,2023-05-01,2023-05-31,,0.0,25.0,06.04.2023-1000.0-25.0 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-05,Location not found: Prenzlauer Berg,Location not found: Prenzlauer Berg
12,,3.0,06.04.2023,1300.0,67.0,Berlin  Wilmersdorf,2023-05-01,2023-08-16,,3.0,19.402985074626866,06.04.2023-1300.0-19.402985074626866 Berlin  Wilmersdorf,Wedding,2023-08,52.550123,13.34197
13,,3.0,06.04.2023,1550.0,123.0,Berlin  Charlottenburg,2023-04-30,2023-06-01,,2.0,12.601626016260164,06.04.2023-1550.0-12.601626016260163 Berlin  Charlottenburg,Charlottenburg,2023-06,52.515747,13.3096834
14,,2.0,06.04.2023,1000.0,56.0,Berlin  Steglitz,2023-04-12,2023-05-29,,1.0,17.857142857142858,06.04.2023-1000.0-17.857142857142858 Berlin  Steglitz,,2023-05,-23.2335499,17.3231107
15,,2.0,06.04.2023,860.0,62.0,Berlin  Hermsdorf,2023-04-15,,,,13.870967741935484,06.04.2023-860.0-13.870967741935484 Berlin  Hermsdorf,Hermsdorf,,50.897952,11.8567132
16,,1.0,06.04.2023,80.0,50.0,Berlin  Kreuzberg,2023-05-09,2023-05-14,,0.0,1.6,06.04.2023-80.0-1.6 Berlin  Kreuzberg,Kreuzberg,2023-05,52.4976443,13.411914
17,,,06.04.2023,1300.0,48.0,Berlin  Steglitz-Zehlendorf,2023-04-06,,,,27.08333333333333,06.04.2023-1300.0-27.083333333333332 Berlin  Steglitz-Zehlendorf,,,Location not found: NA,Location not found: NA
